title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Godzilla ve Kong: Yeni İmparatorluk,05/04/2024 (TR),72,Adam Wingard,,"Bilim-Kurgu,Aksiyon,Macera",1h 55m,İngilizce,"$150,000,000.00","$558,503,759.00"
Rebel Moon - Part Two: The Scargiver,19/04/2024 (TR),61,Zack Snyder,,"Bilim-Kurgu,Aksiyon,Dram",2h 3m,İngilizce,"$83,000,000.00",-
Exhuma,31/05/2024 (TR),74,Jang Jae-hyun,Jang Jae-hyun,"Gizem,Korku,Gerilim",2h 14m,Korece,-,"$16,791,781.00"
Mucizevi Paris: Gölge Böcek ve Kara Pençe,21/10/2023 (FR),78,Thomas Astruc,Thomas Astruc,"Animasyon,Macera,Aksiyon,Fantastik,Aile",48m,Fransızca,-,-
Hunt Club,04/04/2023 (US),36,Elizabeth Blake-Thomas,,"Aksiyon,Gerilim,Korku",1h 27m,İngilizce,-,-
Maymunlar Cehennemi: Şafak Vakti,10/07/2014 (TR),73,Matt Reeves,Rick Jaffa,"Bilim-Kurgu,Aksiyon,Dram,Gerilim",2h 10m,İngilizce,"$170,000,000.00","$710,644,566.00"
Garfield,31/05/2024 (TR),67,Mark Dindal,,"Animasyon,Komedi,Aile",1h 41m,İngilizce,"$60,000,000.00","$36,000,000.00"
Sen İhtimali,02/05/2024 (US),75,Michael Showalter,,"Romantik,Komedi,Dram",1h 56m,İngilizce,-,"$36,178.00"
Çıkış Yok,26/01/2024 (TR),64,Claudio Fäh,Andy Mayson,"Aksiyon,Korku,Gerilim",1h 35m,İngilizce,-,-
,19/04/2024 (TR),69,Tyler Gillett,,"Korku,Gerilim",1h 53m,İngilizce,"$28,000,000.00","$37,546,000.00"
Ape vs. Mecha Ape,24/03/2023 (US),57,Marc Gottlieb,Marc Gottlieb,"Aksiyon,Bilim-Kurgu",1h 20m,İngilizce,-,-
Hayalet Avcıları: Ürperti,29/03/2024 (TR),67,Gil Kenan,Gil Kenan,"Fantastik,Macera,Komedi",1h 55m,İngilizce,"$100,000,000.00","$195,741,452.00"
,05/04/2024 (TR),71,Mike Mitchell,Glenn Berger,"Animasyon,Aksiyon,Aile,Komedi,Fantastik",1h 34m,İngilizce,"$85,000,000.00","$520,540,090.00"
Dune: Çöl Gezegeni Bölüm İki,01/03/2024 (TR),82,Denis Villeneuve,,"Bilim-Kurgu,Macera",2h 45m,İngilizce,"$190,000,000.00","$704,300,257.00"
Black Lotus,13/04/2023 (NL),65,Todor Chapkanov,Tad Daggerhart,"Aksiyon,Suç,Gizem,Gerilim",1h 33m,İngilizce,-,-
Godzilla Minus One,03/11/2023 (JP),77,Takashi Yamazaki,,"Bilim-Kurgu,Korku,Aksiyon",2h 5m,Japonca,"$15,000,000.00","$115,857,413.00"
Maymunlar Cehennemi: Yeni Krallık,10/05/2024 (TR),72,Wes Ball,Josh Friedman,"Bilim-Kurgu,Macera,Aksiyon",2h 25m,İngilizce,"$160,000,000.00","$145,000,000.00"
Ördeklerin Göçü,19/01/2024 (TR),75,Benjamin Renner,,"Animasyon,Aksiyon,Macera,Komedi,Aile",1h 23m,İngilizce,"$72,000,000.00","$298,106,960.00"
Maymunlar Cehennemi: Başlangıç,05/08/2011 (TR),73,Rupert Wyatt,,"Gerilim,Aksiyon,Dram,Bilim-Kurgu",1h 45m,İngilizce,"$93,000,000.00","$481,800,873.00"
Tarot,03/05/2024 (TR),53,Anna Halberg,Nicholas Adams,"Korku,Gerilim",1h 32m,İngilizce,"$8,250,000.00","$20,215,419.00"
Hayali Arkadaşlar,17/05/2024 (TR),73,John Krasinski,John Krasinski,"Komedi,Fantastik,Aile,Animasyon",1h 44m,İngilizce,"$110,000,000.00","$3,600,000.00"
Evrenler Savaşı,20/07/2022 (KR),69,Choi Dong-hoon,Choi Dong-hoon,"Bilim-Kurgu,Aksiyon,Fantastik,Macera",2h 22m,Korece,"$24,500,000.00","$12,600,000.00"
Barbie,21/07/2023 (TR),71,Greta Gerwig,Greta Gerwig,"Komedi,Macera",1h 54m,İngilizce,"$145,000,000.00","$1,445,638,421.00"
The Long Game,12/04/2024 (US),60,Julio Quintana,Julio Quintana,"Dram,Aile",1h 50m,İngilizce,-,-
SPY x FAMILY CODE: White,22/12/2023 (JP),78,Takashi Katagiri,,"Animasyon,Komedi,Macera,Aksiyon",1h 50m,Japonca,"$5,000,000.00","$59,256,423.00"
Maymunlar Cehennemi: Savaş,14/07/2017 (TR),72,Matt Reeves,Matt Reeves,"Dram,Bilim-Kurgu,Savaş",2h 20m,İngilizce,"$150,000,000.00","$490,719,763.00"
Yeni Nesil Ajan,13/09/2002 (TR),59,Rob Cohen,,"Aksiyon,Macera,Gerilim,Suç",2h 4m,İngilizce,"$70,000,000.00","$277,500,000.00"
,22/10/2021 (TR),78,Denis Villeneuve,,"Bilim-Kurgu,Macera",2h 35m,İngilizce,"$165,000,000.00","$407,573,628.00"
The Night They Came Home,12/01/2024 (US),61,Paul G. Volk,,"Vahşi Batı,Gerilim,Aksiyon",1h 45m,İngilizce,-,-
Sayen: The Huntress,26/04/2024 (CL),65,Alexander Witt,Patricio Lynch,"Aksiyon,Gerilim",1h 28m,İspanyolca; Kastilyaca,-,-
İç Savaş,19/04/2024 (TR),74,Alex Garland,Alex Garland,"Savaş,Aksiyon,Dram",1h 49m,İngilizce,"$50,000,000.00","$108,969,206.00"
Hızlı ve Öfkeli 10,19/05/2023 (TR),71,Louis Leterrier,,"Aksiyon,Suç,Gerilim",2h 22m,İngilizce,"$340,000,000.00","$704,709,660.00"
Bar Fedaisi,21/03/2024 (TR),70,Doug Liman,,"Aksiyon,Gerilim",2h 1m,İngilizce,"$85,000,000.00",-
,21/06/2023 (KR),71,Park Hoon-jung,Park Hoon-jung,"Aksiyon,Gerilim,Dram",1h 58m,Korece,-,-
Oppenheimer,21/07/2023 (TR),81,Christopher Nolan,Christopher Nolan,"Dram,Tarih",3h 1m,İngilizce,"$100,000,000.00","$952,000,000.00"
Madame Web,16/02/2024 (TR),56,S.J. Clarkson,,"Aksiyon,Fantastik",1h 56m,İngilizce,"$80,000,000.00","$100,298,817.00"
Arınma,26/04/2024 (TR),62,Michael Mohan,,"Korku,Gizem,Gerilim",1h 29m,İngilizce,"$9,000,000.00","$22,314,913.00"
Hayalet Avcıları,29/07/2016 (TR),54,Paul Feig,,"Aksiyon,Fantastik,Komedi",1h 56m,İngilizce,"$144,000,000.00","$229,147,509.00"
Terminatör,15/01/1988 (TR),77,James Cameron,James Cameron,"Aksiyon,Gerilim,Bilim-Kurgu",1h 48m,İngilizce,"$6,400,000.00","$78,371,200.00"
Joker,04/10/2019 (TR),82,Todd Phillips,Todd Phillips,"Suç,Gerilim,Dram",2h 2m,İngilizce,"$55,000,000.00","$1,078,958,629.00"
Yıldızlararası,07/11/2014 (TR),84,Christopher Nolan,Christopher Nolan,"Macera,Dram,Bilim-Kurgu",2h 49m,İngilizce,"$165,000,000.00","$701,729,206.00"
Kırmızı,11/03/2022 (TR),74,Domee Shi,,"Animasyon,Aile,Komedi,Fantastik",1h 40m,İngilizce,"$175,000,000.00","$21,328,962.00"
Spitfire Over Berlin,06/09/2022 (US),39,Callum Burn,Callum Burn,"Savaş,Aksiyon,Tarih",1h 20m,İngilizce,-,-
,20/05/2022 (VN),54,Lương Đình Dũng,Lương Đình Dũng,"Aksiyon,Gerilim",1h 48m,Vietnamca,-,-
Iron Man 2,07/05/2010 (US),68,Jon Favreau,,"Macera,Aksiyon,Bilim-Kurgu",2h 5m,İngilizce,"$200,000,000.00","$623,933,331.00"
Tenet,26/08/2020 (TR),72,Christopher Nolan,Christopher Nolan,"Aksiyon,Gerilim,Bilim-Kurgu",2h 30m,İngilizce,"$205,000,000.00","$365,304,105.00"
Yıldız Savaşları: Yeni Umut,28/03/1997 (TR),82,George Lucas,George Lucas,"Macera,Aksiyon,Bilim-Kurgu",2h 5m,İngilizce,"$11,000,000.00","$775,398,007.00"
Furiosa: Bir Mad Max Destanı,24/05/2024 (TR),82,George Miller,George Miller,"Bilim-Kurgu,Aksiyon,Macera",2h 28m,İngilizce,"$150,000,000.00",-
Rekabet,26/04/2024 (TR),74,Luca Guadagnino,,"Romantik,Dram",2h 12m,İngilizce,"$55,000,000.00","$68,036,634.00"
,16/06/2023 (TR),67,Andy Muschietti,,"Aksiyon,Macera,Bilim-Kurgu",2h 24m,İngilizce,"$220,000,000.00","$271,333,313.00"
The Promised Neverland,18/12/2020 (JP),73,Yuichiro Hirakawa,,"Aksiyon,Gerilim,Fantastik,Gizem,Macera,Dram",1h 59m,Japonca,-,-
"Not Love, Just Frenzy",15/11/1996 (ES),56,Miguel Bardem,,"Komedi,Dram,Romantik,Gerilim",2h 5m,İspanyolca; Kastilyaca,-,-
The Batman,04/03/2022 (TR),77,Matt Reeves,Matt Reeves,"Suç,Gizem,Gerilim",2h 57m,İngilizce,"$185,000,000.00","$771,000,000.00"
,03/09/1999 (TR),82,Lilly Wachowski,Lilly Wachowski,"Aksiyon,Bilim-Kurgu",2h 16m,İngilizce,"$63,000,000.00","$463,517,383.00"
,12/02/2016 (TR),76,Tim Miller,Paul Wernick,"Aksiyon,Macera,Komedi",1h 48m,İngilizce,"$58,000,000.00","$782,837,347.00"
Damaged,12/04/2024 (US),49,Terry McDonough,Paul Aniello,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,-,-
Üç Silahşörler: Milady,13/12/2023 (FR),65,Martin Bourboulon,Matthieu Delaporte,"Macera,Aksiyon,Dram",1h 55m,Fransızca,"$39,000,000.00","$21,730,766.00"
Gelinin Annesi,09/05/2024 (US),59,Mark Waters,Robin Jill Bernheim,"Romantik,Komedi",1h 30m,İngilizce,-,-
,05/06/2019 (TR),60,Simon Kinberg,Simon Kinberg,"Bilim-Kurgu,Aksiyon,Macera",1h 54m,İngilizce,"$200,000,000.00","$252,442,974.00"
Av,02/12/1988 (TR),75,John McTiernan,,"Bilim-Kurgu,Aksiyon,Macera,Gerilim",1h 47m,İngilizce,"$15,000,000.00","$98,267,558.00"
Dehşet Yolcuları,29/03/2024 (TR),58,Julien Leclercq,,"Aksiyon,Gerilim",1h 47m,Fransızca,-,-
,26/04/2024 (US),51,Stefon Bristol,Doug Simon,"Bilim-Kurgu,Gizem,Gerilim",1h 33m,İngilizce,-,-
,12/11/2018 (US),68,Susanne Bier,,"Korku,Gerilim,Dram",2h 4m,İngilizce,"$19,800,000.00",-
Wonder Woman,02/06/2017 (TR),72,Patty Jenkins,,"Aksiyon,Macera,Fantastik",2h 21m,İngilizce,"$149,000,000.00","$823,970,682.00"
,15/12/2023 (TR),72,Paul King,,"Komedi,Aile,Fantastik",1h 57m,İngilizce,"$125,000,000.00","$632,302,312.00"
Ucuz Roman,14/04/1995 (TR),85,Quentin Tarantino,,"Gerilim,Suç",2h 34m,İngilizce,"$8,500,000.00","$213,900,000.00"
,16/02/2018 (TR),74,Ryan Coogler,Ryan Coogler,"Aksiyon,Macera,Bilim-Kurgu",2h 18m,İngilizce,"$200,000,000.00","$1,349,926,083.00"
Geliş,11/11/2016 (TR),76,Denis Villeneuve,,"Dram,Bilim-Kurgu,Gizem",1h 56m,İngilizce,"$47,000,000.00","$203,388,186.00"
Captain Marvel,08/03/2019 (TR),68,Anna Boden,,"Aksiyon,Macera,Bilim-Kurgu",2h 7m,İngilizce,"$152,000,000.00","$1,131,416,446.00"
2001: Uzay Yolu Macerası,19/11/1973 (TR),81,Stanley Kubrick,,"Bilim-Kurgu,Gizem,Macera",2h 29m,İngilizce,"$12,000,000.00","$71,923,560.00"
Başlangıç,30/07/2010 (TR),84,Christopher Nolan,Christopher Nolan,"Aksiyon,Bilim-Kurgu,Macera",2h 28m,İngilizce,"$160,000,000.00","$825,532,764.00"
X,17/06/2022 (TR),67,Ti West,Ti West,"Korku,Gerilim,Gizem",1h 46m,İngilizce,"$1,000,000.00","$14,740,889.00"
,10/11/2023 (TR),61,Nia DaCosta,Nia DaCosta,"Bilim-Kurgu,Macera,Aksiyon",1h 45m,İngilizce,"$274,800,000.00","$207,089,999.00"
Ters Yüz 2,14/06/2024 (TR),0,Kelsey Mann,Meg LeFauve,"Animasyon,Aile,Dram,Macera,Fantastik",1h 36m,İngilizce,-,-
Yaratık,01/11/1981 (TR),82,Ridley Scott,,"Korku,Bilim-Kurgu",1h 57m,İngilizce,"$11,000,000.00","$104,931,801.00"
Logan: Wolverine,03/03/2017 (TR),78,James Mangold,,"Aksiyon,Dram,Bilim-Kurgu",2h 17m,İngilizce,"$97,000,000.00","$619,021,436.00"
,27/10/2017 (TR),76,Taika Waititi,Eric Pearson,"Aksiyon,Macera,Bilim-Kurgu",2h 11m,İngilizce,"$180,000,000.00","$855,301,806.00"
Yerçekimi,11/10/2013 (TR),72,Alfonso Cuarón,Alfonso Cuarón,"Bilim-Kurgu,Gerilim,Dram",1h 31m,İngilizce,"$105,000,000.00","$723,192,705.00"
The Coffee Table,01/06/2022 (ES),68,Caye Casas,Caye Casas,"Korku,Gerilim,Komedi",1h 31m,İspanyolca; Kastilyaca,-,"$16,630.00"
